source_id	source_group_id	membership_column	display_name	source_class	analysis_role	universe_expands	expected_public_memberships	citation_text	doi	pmid	stable_url	source_locator	source_version_or_date	extraction_date	redistribution_status	notes
chdgene_2026_08_10	chdgene	CHDGENE_table_10Aug26.csv	CHDgene database list	database CHD list	database comparator	true	189	Yang A, Alankarage D, Cuny H, et al. CHDgene: A Curated Database for Congenital Heart Disease Genes. Circ Genom Precis Med. 2022;15(3):e003539.	10.1161/CIRCGEN.121.003539	35522174	https://chdgene.victorchang.edu.au/	CHDgene table downloaded 10 Aug 2026	2026-08-10	2026-08-10	derived_membership_only	Source membership and source classifications are attributable to CHDgene.
griffin2023_table1_syndromic	griffin2023	Griffin_2023_table1_syndromic.csv	Griffin 2023 final syndromic genes	expert review	primary review set	true	81	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Main-text Table 1, syndromic subset	2023	2026-08-10	derived_membership_only	Final syndromic Table 1 set.
griffin2023_table1_isolated	griffin2023	Griffin_2023_table1_isolated.csv	Griffin 2023 final isolated genes	expert review	primary review set	true	18	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Main-text Table 1, isolated subset	2023	2026-08-10	derived_membership_only	Final isolated Table 1 set.
griffin2023_supp1_candidates	griffin2023	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	Griffin 2023 candidate genes	candidate review set	candidate set	true	556	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Supplementary Table I, 558 published rows	2023	2026-09-08	derived_membership_only	558 published candidate rows correspond to 556 genes after HGNC normalization.
griffin2023_supp2_curated	griffin2023	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	Griffin 2023 fully curated genes	expert review	curated set	true	295	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Supplementary Table II	2023	2026-08-10	derived_membership_only	All fully curated genes under the source framework.
griffin2023_supp3_denovo	griffin2023	Griffin_2023_Supp_Table_3_Curated_De_Novo Variants.csv	Griffin 2023 curated de novo variant genes	variant records	variant evidence	true	35	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Supplementary Table III; 95 variant rows collapsed to 35 genes	2023	2026-08-10	derived_membership_only	Variant records are represented as gene membership.
griffin2023_supp4_lof	griffin2023	Griffin_2023_Supp_Table_4_Curated_LoF_Variants.csv	Griffin 2023 curated LoF variant genes	variant records	variant evidence	true	15	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Supplementary Table IV; 37 variant rows collapsed to 15 genes	2023	2026-08-10	derived_membership_only	Variant records are represented as gene membership.
griffin2023_supp5_recessive	griffin2023	Griffin_2023_Supp_Table_5_Curated_Recessive_Variants.csv	Griffin 2023 curated recessive variant genes	variant records	variant evidence	true	2	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Supplementary Table V; five nonblank gene records collapsed to two normalized genes	2023	2026-08-10	derived_membership_only	Variant records are represented as gene membership.
griffin2023_curated_not_final	griffin2023	Griffin_2023_fully_curated_not_final_n196.csv	Griffin 2023 fully curated but not final	derived review subset	comparison set	true	196	Griffin EL, Nees SN, Morton SU, et al. Evidence-Based Assessment of Congenital Heart Disease Genes to Enable Returning Results in a Genomic Study. Circ Genom Precis Med. 2023;16(2):e003791.	10.1161/CIRCGEN.122.003791	36803080	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121846/	Supplementary Table II fully curated genes excluding final Table 1	2026-09-08	2026-09-08	derived_membership_only	Derived comparison set containing 196 genes.
sierant_dominant60	sierant2025	Sierant dominant 60	Sierant dominant 60 empirical set	empirical PCGC study set	empirical benchmark	true	60	Sierant MC, Jin SC, Bilguvar K, et al. Genomic analysis of 11,555 probands identifies 60 dominant congenital heart disease genes. Proc Natl Acad Sci U S A. 2025;122(13):e2420343122.	10.1073/pnas.2420343122		https://doi.org/10.1073/pnas.2420343122	Dataset S7, Sig 60 = T; ordered using Dataset S6	2025	2026-08-10	derived_membership_only	Authoritative 60 gene set defined by Dataset S7.
